
ignore,CustomerName,CustomerID,OrderDate,OrderID,OrderTotal,Phone
67,Wholesome Foods,4,2022-02-07,25,1113.0,347-789-7688
68,Wholesome Foods,4,2022-02-07,25,1113.0,347-789-7688
69,Wholesome Foods,4,2022-02-07,25,1113.0,347-789-7688
70,ACME Bites,3,2022-02-08,26,171.0,920-419-6270
71,ACME Bites,3,2022-02-09,27,1291.0,920-419-6270
72,ACME Bites,3,2022-02-09,27,1291.0,920-419-6270
73,Wholesome Foods,4,2022-02-11,28,2060.0,347-789-7688
74,Wholesome Foods,4,2022-02-11,28,2060.0,347-789-7688
75,Wholesome Foods,4,2022-02-11,28,2060.0,347-789-7688
76,Park & Shop Convenience Stores,5,2022-02-11,29,1263.0,251-655-2909
77,Park & Shop Convenience Stores,5,2022-02-11,29,1263.0,251-655-2909
78,Park & Shop Convenience Stores,5,2022-02-11,29,1263.0,251-655-2909
79,Park & Shop Convenience Stores,5,2022-02-11,29,1263.0,251-655-2909
80,Park & Shop Convenience Stores,5,2022-02-11,29,1263.0,251-655-2909
81,Tres Delicious,1,2022-02-12,30,2117.0,999-999-9999
82,Tres Delicious,1,2022-02-12,30,2117.0,999-999-9999
83,Tres Delicious,1,2022-02-12,30,2117.0,999-999-9999
84,ABC Groceries,2,2022-02-13,31,1900.0,801-583-8695
85,ABC Groceries,2,2022-02-13,31,1900.0,801-583-8695
86,Park & Shop Convenience Stores,5,2022-02-16,32,2847.0,251-655-2909
87,Park & Shop Convenience Stores,5,2022-02-16,32,2847.0,251-655-2909
88,Park & Shop Convenience Stores,5,2022-02-16,32,2847.0,251-655-2909
89,Park & Shop Convenience Stores,5,2022-02-16,32,2847.0,251-655-2909
90,ACME Bites,3,2022-02-17,33,2159.0,920-419-6270
91,ACME Bites,3,2022-02-17,33,2159.0,920-419-6270
92,ACME Bites,3,2022-02-17,33,2159.0,920-419-6270
93,ABC Groceries,2,2022-02-18,34,1196.0,801-583-8695
94,ABC Groceries,2,2022-02-18,34,1196.0,801-583-8695
95,Park & Shop Convenience Stores,5,2022-02-21,35,1165.0,251-655-2909
96,Park & Shop Convenience Stores,5,2022-02-21,35,1165.0,251-655-2909
97,Park & Shop Convenience Stores,5,2022-02-21,35,1165.0,251-655-2909
98,Wholesome Foods,4,2022-02-25,36,1391.0,347-789-7688
99,Wholesome Foods,4,2022-02-25,36,1391.0,347-789-7688
100,Wholesome Foods,4,2022-02-25,36,1391.0,347-789-7688
101,ABC Groceries,2,2022-02-25,37,1415.0,801-583-8695
102,ABC Groceries,2,2022-02-25,37,1415.0,801-583-8695
103,Tres Delicious,1,2022-02-26,38,685.0,999-999-9999
104,Park & Shop Convenience Stores,5,2022-02-26,39,1094.0,251-655-2909
105,Park & Shop Convenience Stores,5,2022-02-26,39,1094.0,251-655-2909
106,Tres Delicious,1,2022-02-28,40,487.0,999-999-9999
107,Tres Delicious,1,2022-02-28,40,487.0,999-999-9999
108,Park & Shop Convenience Stores,5,2022-02-28,41,240.0,251-655-2909
109,Tres Delicious,1,2022-03-07,42,1351.0,999-999-9999
110,Tres Delicious,1,2022-03-07,42,1351.0,999-999-9999
111,Tres Delicious,1,2022-03-07,42,1351.0,999-999-9999
112,Park & Shop Convenience Stores,5,2022-03-07,43,3518.0,251-655-2909
113,Park & Shop Convenience Stores,5,2022-03-07,43,3518.0,251-655-2909
114,Park & Shop Convenience Stores,5,2022-03-07,43,3518.0,251-655-2909
115,Park & Shop Convenience Stores,5,2022-03-07,43,3518.0,251-655-2909
116,Park & Shop Convenience Stores,5,2022-03-07,43,3518.0,251-655-2909
117,ACME Bites,3,2022-03-07,44,952.0,920-419-6270
118,ACME Bites,3,2022-03-07,44,952.0,920-419-6270
119,ACME Bites,3,2022-03-07,44,952.0,920-419-6270
120,ACME Bites,3,2022-03-08,45,2208.0,920-419-6270
121,ACME Bites,3,2022-03-08,45,2208.0,920-419-6270
122,ACME Bites,3,2022-03-08,45,2208.0,920-419-6270
123,Park & Shop Convenience Stores,5,2022-03-09,46,648.0,251-655-2909
124,Park & Shop Convenience Stores,5,2022-03-09,46,648.0,251-655-2909
125,Park & Shop Convenience Stores,5,2022-03-09,46,648.0,251-655-2909
126,ACME Bites,3,2022-03-10,47,798.0,920-419-6270
127,ACME Bites,3,2022-03-10,47,798.0,920-419-6270
128,Wholesome Foods,4,2022-03-12,48,655.0,347-789-7688
129,Tres Delicious,1,2022-03-13,49,588.0,999-999-9999
130,Wholesome Foods,4,2022-03-14,50,180.0,347-789-7688
